date,layman__treasury_10yr_rate,layman__treasury_3mo_rate,layman__initial_unemployment_claims,layman__job_openings_total,layman__durable_goods_orders,layman__industrial_production,layman__real_disposable_income,layman__real_consumption,layman__cpi_rent_index
1997-01-01,6.58,5.03,333000.0,5088.0,161827.0,77.5135,8556.4,11181.0,164.3
1997-02-01,6.42,5.01,333000.0,5088.0,170221.0,78.4255,8579.2,11181.0,164.7
1997-03-01,6.69,5.14,321000.0,5088.0,167568.0,78.9197,8619.0,11181.0,165.1
1997-04-01,6.89,5.16,325000.0,5088.0,174054.0,78.9848,8624.5,11181.0,165.6
1997-05-01,6.71,5.05,337000.0,5088.0,168586.0,79.4296,8661.9,11181.0,166.0
1997-06-01,6.49,4.93,321000.0,5088.0,174828.0,79.7971,8689.7,11181.0,166.5
1997-07-01,6.22,5.05,322000.0,5088.0,178860.0,80.4666,8723.1,11181.0,166.9
1997-08-01,6.3,5.14,306000.0,5088.0,177302.0,81.2825,8768.6,11181.0,167.3
1997-09-01,6.21,4.95,332000.0,5088.0,177835.0,82.0327,8791.5,11181.0,167.8
1997-10-01,6.03,4.97,317000.0,5088.0,177801.0,82.7656,8834.8,11181.0,168.2
1997-11-01,5.88,5.14,313000.0,5088.0,191187.0,83.427,8892.2,11181.0,168.6
1997-12-01,5.81,5.16,318000.0,5088.0,173770.0,83.784,8944.3,11181.0,169.0
1998-01-01,5.54,5.04,303000.0,5088.0,174288.0,84.1564,9022.9,11181.0,169.4
1998-02-01,5.57,5.09,315000.0,5088.0,181270.0,84.3066,9081.2,11181.0,169.8
1998-03-01,5.65,5.03,317000.0,5088.0,176886.0,84.342,9134.4,11181.0,170.3
1998-04-01,5.64,4.95,312000.0,5088.0,180915.0,84.6339,9164.1,11181.0,170.8
1998-05-01,5.65,5.0,311000.0,5088.0,180634.0,85.1867,9202.0,11181.0,171.3
1998-06-01,5.5,4.98,322000.0,5088.0,172189.0,84.6809,9254.2,11181.0,171.8
1998-07-01,5.46,4.96,376000.0,5088.0,170459.0,84.3445,9270.0,11181.0,172.3
1998-08-01,5.34,4.9,327000.0,5088.0,179033.0,86.0816,9299.3,11181.0,172.9
1998-09-01,4.81,4.61,310000.0,5088.0,181422.0,86.0023,9325.5,11181.0,173.4
1998-10-01,4.53,3.96,294000.0,5088.0,178527.0,86.591,9337.5,11181.0,173.9
1998-11-01,4.83,4.41,308000.0,5088.0,182400.0,86.5115,9374.6,11181.0,174.4
1998-12-01,4.65,4.39,310000.0,5088.0,178424.0,86.8615,9391.7,11181.0,174.8
1999-01-01,4.72,4.34,336000.0,5088.0,186527.0,87.2205,9444.1,11181.0,175.2
1999-02-01,5.0,4.44,305000.0,5088.0,185546.0,87.726,9476.2,11181.0,175.5
1999-03-01,5.23,4.44,301000.0,5088.0,184689.0,87.9125,9484.1,11181.0,175.9
1999-04-01,5.18,4.29,298000.0,5088.0,182993.0,88.1082,9453.0,11181.0,176.4
1999-05-01,5.54,4.5,296000.0,5088.0,185963.0,88.6483,9469.3,11181.0,176.8
1999-06-01,5.9,4.57,303000.0,5088.0,182590.0,88.5903,9501.3,11181.0,177.2
1999-07-01,5.79,4.55,291000.0,5088.0,189083.0,89.1098,9519.0,11181.0,177.6
1999-08-01,5.94,4.72,300000.0,5088.0,189414.0,89.5007,9559.1,11181.0,178.0
1999-09-01,5.92,4.68,290000.0,5088.0,188910.0,89.1304,9546.7,11181.0,178.5
1999-10-01,6.11,4.86,306000.0,5088.0,194547.0,90.2709,9598.7,11181.0,178.8
1999-11-01,6.03,5.07,285000.0,5088.0,186597.0,90.7528,9660.9,11181.0,179.7
1999-12-01,6.28,5.2,288000.0,5088.0,196344.0,91.4784,9735.9,11181.0,180.1
2000-01-01,6.66,5.32,286000.0,5088.0,201360.0,91.4092,9799.9,11181.0,180.9
