date,NAV__Scheme Code,NAV__Scheme Name,NAV__Net Asset Value,NAV__Scheme Category,NAV__Fund House,NAV__ISIN Div Payout/ ISIN Growth,NAV__ISIN Div Reinvestment
2025-04-10,119302,Union Liquid Fund - Direct Plan - Monthly IDCW Option,1004.9125,Open Ended Schemes(Debt Scheme - Liquid Fund),Union Mutual Fund,INF582M01732,INF582M01716
2025-04-10,147002,Union Overnight Fund - Direct Plan - Daily IDCW Option,1000.7946,Open Ended Schemes(Debt Scheme - Overnight Fund),Union Mutual Fund,,INF582M01FB0
2025-04-10,149452,Union Overnight Fund - Unclaimed Amounts Plan - IDCW Upto 3 years,1214.0747,Open Ended Schemes(Debt Scheme - Overnight Fund),Union Mutual Fund,,
2025-04-10,149451,Union Overnight Fund - Unclaimed Amounts Plan - IDCW Beyond 3 years,1000.0,Open Ended Schemes(Debt Scheme - Overnight Fund),Union Mutual Fund,,
2025-04-10,147000,Union Overnight Fund - Regular Plan - Monthly IDCW Option,1003.3465,Open Ended Schemes(Debt Scheme - Overnight Fund),Union Mutual Fund,INF582M01FP0,INF582M01FN5
2025-04-10,146997,Union Overnight Fund - Regular Plan - Growth Option,1338.4193,Open Ended Schemes(Debt Scheme - Overnight Fund),Union Mutual Fund,INF582M01FJ3,
2025-04-10,146998,Union Overnight Fund - Regular Plan - Daily IDCW Option,1001.2536,Open Ended Schemes(Debt Scheme - Overnight Fund),Union Mutual Fund,,INF582M01FK1
2025-04-10,147006,Union Overnight Fund - Direct Plan - Monthly IDCW Option,1003.4059,Open Ended Schemes(Debt Scheme - Overnight Fund),Union Mutual Fund,INF582M01FG9,INF582M01FE4
2025-04-10,147003,Union Overnight Fund - Direct Plan - Growth Option,1346.4281,Open Ended Schemes(Debt Scheme - Overnight Fund),Union Mutual Fund,INF582M01FA2,
2025-04-10,115402,Union Liquid Fund - Weekly IDCW Option,1001.8631,Open Ended Schemes(Debt Scheme - Liquid Fund),Union Mutual Fund,,INF582M01039
2025-04-10,149454,Union Overnight Fund - Unclaimed Amounts Plan - Redemption Upto 3 years,1213.8653,Open Ended Schemes(Debt Scheme - Overnight Fund),Union Mutual Fund,,
2025-04-10,115400,Union Liquid Fund - Monthly IDCW Option,1004.8696,Open Ended Schemes(Debt Scheme - Liquid Fund),Union Mutual Fund,INF582M01070,INF582M01054
2025-04-10,115398,Union Liquid Fund - Growth Option,2477.978,Open Ended Schemes(Debt Scheme - Liquid Fund),Union Mutual Fund,INF582M01013,
2025-04-10,115399,Union Liquid Fund - Fortnightly IDCW Option,1004.8788,Open Ended Schemes(Debt Scheme - Liquid Fund),Union Mutual Fund,INF582M01062,INF582M01047
2025-04-10,119304,Union Liquid Fund - Direct Plan - Weekly IDCW Option,1001.6368,Open Ended Schemes(Debt Scheme - Liquid Fund),Union Mutual Fund,,INF582M01690
2025-04-10,119303,Union Liquid Fund - Direct Plan - Growth Option,2507.8803,Open Ended Schemes(Debt Scheme - Liquid Fund),Union Mutual Fund,INF582M01674,
2025-04-10,119305,Union Liquid Fund - Direct Plan - Fortnightly IDCW Option,1005.1077,Open Ended Schemes(Debt Scheme - Liquid Fund),Union Mutual Fund,INF582M01724,INF582M01708
2025-04-10,119301,Union Liquid Fund - Direct Plan - Daily IDCW Option,1001.1995,Open Ended Schemes(Debt Scheme - Liquid Fund),Union Mutual Fund,,INF582M01682
2025-04-10,149453,Union Overnight Fund - Unclaimed Amounts Plan - Redemption Beyond 3 years,1000.0,Open Ended Schemes(Debt Scheme - Overnight Fund),Union Mutual Fund,,
2025-04-10,115401,Union Liquid Fund - Daily IDCW Option,1001.1995,Open Ended Schemes(Debt Scheme - Liquid Fund),Union Mutual Fund,,INF582M01021
2025-04-09,100794,Sundaram Small Cap Fund Regular Plan - Income Distribution cum Capital Withdrawal (IDCW),29.7061,Open Ended Schemes(Equity Scheme - Small Cap Fund),Sundaram Mutual Fund,INF903J01454,INF903J01462
2025-04-09,120365,ICICI Prudential Equity Arbitrage Fund - Direct Plan - IDCW,17.1502,Open Ended Schemes(Hybrid Scheme - Arbitrage Fund),ICICI Prudential Mutual Fund,INF109K017O2,INF109K015O6
2025-04-09,135173,JM Arbitrage Fund (Direct) - Annual IDCW,15.6111,Open Ended Schemes(Hybrid Scheme - Arbitrage Fund),JM Financial Mutual Fund,INF192K01KY4,INF192K01KZ1
2025-04-09,133395,JM Arbitrage Fund (Direct) - Annual Bonus Option - Principal Units,17.6204,Open Ended Schemes(Hybrid Scheme - Arbitrage Fund),JM Financial Mutual Fund,INF192K01GX4,
2025-04-09,147616,ITI Arbitrage Fund - Regular Plan - IDCW Option,12.7798,Open Ended Schemes(Hybrid Scheme - Arbitrage Fund),ITI Mutual Fund,INF00XX01424,INF00XX01432
2025-04-09,147618,ITI Arbitrage Fund - Regular Plan - Growth Option,12.7798,Open Ended Schemes(Hybrid Scheme - Arbitrage Fund),ITI Mutual Fund,INF00XX01416,
2025-04-09,147615,ITI Arbitrage Fund - Direct Plan - IDCW Option,13.325,Open Ended Schemes(Hybrid Scheme - Arbitrage Fund),ITI Mutual Fund,INF00XX01457,INF00XX01465
2025-04-09,147617,ITI Arbitrage Fund - Direct Plan - Growth Option,13.325,Open Ended Schemes(Hybrid Scheme - Arbitrage Fund),ITI Mutual Fund,INF00XX01440,
2025-04-09,105604,Invesco India Arbitrage Fund - IDCW (Payout / Reinvestment),16.7995,Open Ended Schemes(Hybrid Scheme - Arbitrage Fund),Invesco Mutual Fund,INF205K01148,INF205K01130
2025-04-09,105603,Invesco India Arbitrage Fund - Growth Option,31.4783,Open Ended Schemes(Hybrid Scheme - Arbitrage Fund),Invesco Mutual Fund,INF205K01122,
