date,layman__oil_price,layman__gas_price,layman__mortgage_rate_30yr,layman__median_home_price,layman__total_retail_sales,layman__cpi_electricity,layman__cpi_used_cars,layman__total_consumer_credit,layman__avg_auto_loan_rate_48mo,layman__total_student_loans,layman__rental_vacancy_rate,layman__cpi_event_admission,layman__cpi_airfare,layman__cpi_transit_fares,layman__consumer_sentiment_index,layman__personal_savings_rate,layman__unemployment_rate,layman__federal_funds_rate,layman__youth_unemployment_rate,layman__food_price_index,layman__general_cpi_index,layman__medical_services_index
1997-01-01,25.17,1.232,7.88,145000.0,223481.0,132.4,154.8,1258365.28,8.92,480966.98,7.5,232.7,198.1,188.9,97.4,5.9,5.3,5.25,9.5,155.9,159.4,231.8
1997-02-01,22.21,1.232,7.88,145000.0,225422.0,132.8,154.7,1261850.81,8.92,480966.98,7.5,233.5,192.9,182.9,99.7,6.0,5.2,5.19,8.6,156.5,159.7,232.2
1997-03-01,20.99,1.217,7.65,145000.0,226161.0,133.0,155.0,1264146.34,9.2,480966.98,7.5,234.3,201.6,186.0,100.0,6.1,5.2,5.39,8.9,156.6,159.8,233.0
1997-04-01,19.72,1.191,7.97,145800.0,224615.0,133.3,154.3,1274087.38,9.2,480966.98,7.9,235.3,204.1,187.2,101.4,6.2,5.1,5.51,9.0,156.5,159.9,233.5
1997-05-01,20.83,1.185,8.08,145800.0,222929.0,132.9,153.5,1278678.42,9.2,480966.98,7.9,236.7,201.5,187.6,103.2,6.5,4.9,5.5,8.2,156.6,159.9,234.1
1997-06-01,19.17,1.204,7.94,145800.0,226057.0,133.0,151.6,1282858.52,8.99,480966.98,7.9,238.5,199.1,186.1,104.5,6.3,5.0,5.56,8.3,156.9,160.2,234.4
1997-07-01,19.63,1.171,7.58,145000.0,228703.0,132.4,150.1,1288782.03,8.99,480966.98,7.9,239.6,203.6,186.6,107.1,5.8,4.9,5.52,7.7,157.2,160.4,234.7
1997-08-01,19.93,1.164,7.36,145000.0,229309.0,131.9,149.0,1294219.24,8.99,480966.98,7.9,241.3,194.0,183.2,104.4,5.7,4.8,5.54,8.1,157.7,160.8,235.1
1997-09-01,19.79,1.229,7.58,145000.0,230312.0,132.4,148.2,1301634.97,8.96,480966.98,7.9,241.1,198.0,186.2,106.0,5.9,4.9,5.54,8.3,158.0,161.2,235.5
1997-10-01,21.26,1.195,7.28,144200.0,229836.0,131.9,147.3,1309389.39,8.96,480966.98,7.7,241.6,205.5,190.3,105.6,5.9,4.7,5.5,8.6,158.3,161.5,236.1
1997-11-01,20.17,1.168,7.21,144200.0,230440.0,133.1,147.0,1312457.18,8.96,480966.98,7.7,242.4,197.5,187.5,107.2,6.1,4.6,5.52,8.5,158.6,161.7,236.9
1997-12-01,18.32,1.14,7.17,144200.0,231181.0,130.5,147.4,1324757.33,8.89,480966.98,7.7,243.5,194.8,188.2,102.1,6.1,4.7,5.5,8.5,158.7,161.8,237.8
1998-01-01,16.71,1.099,6.99,152200.0,231587.0,129.9,148.1,1320044.02,8.89,480966.98,7.7,243.7,200.1,190.0,106.6,7.0,4.6,5.56,9.1,159.5,162.0,238.1
1998-02-01,16.06,1.055,7.12,152200.0,231684.0,128.2,148.7,1324342.72,8.89,480966.98,7.7,245.1,206.6,191.4,110.4,7.0,4.6,5.51,8.4,159.4,162.0,238.8
1998-03-01,15.02,1.038,7.09,152200.0,233083.0,127.5,148.4,1332903.44,8.69,480966.98,7.7,246.4,210.7,191.6,106.5,7.1,4.7,5.49,7.9,159.7,162.0,239.4
1998-04-01,15.44,1.026,7.08,149500.0,235986.0,127.8,148.9,1360456.29,8.69,480966.98,8.0,248.5,210.1,191.0,108.7,6.9,4.3,5.45,7.5,159.7,162.2,240.3
1998-05-01,14.86,1.032,7.22,149500.0,237075.0,128.1,149.9,1363080.86,8.69,480966.98,8.0,249.8,205.0,189.6,106.5,6.6,4.4,5.49,7.6,160.3,162.6,241.2
1998-06-01,13.66,1.047,7.07,149500.0,238971.0,127.9,150.8,1373942.33,8.7,480966.98,8.0,249.9,200.9,187.9,105.6,6.5,4.5,5.56,8.0,160.2,162.8,241.8
